,0
0,0.68217105
1,0.72751606
2,0.6007605
3,0.51861095
4,0.4820004
5,0.7565973
6,0.49825543
7,0.4224785
8,0.37874427
9,0.3686444
10,0.480829
11,0.41038603
12,0.58088696
13,0.33575737
14,0.47722554
15,0.4814924
16,0.32870162
17,0.32986853
18,0.21511061
19,0.28116208
20,0.2346169
21,0.21250749
22,0.2730145
23,0.24712272
24,0.17167035
25,0.29178324
26,0.16540523
27,0.14172181
28,0.24473497
29,0.41834956
30,0.29692063
31,0.14909053
32,0.13746315
33,0.12592582
34,0.11601183
35,0.14138392
36,0.09520571
37,0.17367324
38,0.12537251
39,0.1366419
40,0.14626569
41,0.16295913
42,0.1316253
43,0.08283849
44,0.06953001
45,0.24901901
46,0.09428538
47,0.13137199
48,0.09942445
49,0.17550343
50,0.06257268
51,0.09362522
52,0.07580397
53,0.19475687
54,0.07782288
55,0.06600024
56,0.07740486
57,0.08329296
58,0.088522844
59,0.1208327
60,0.06537648
61,0.057752877
62,0.108506985
63,0.0673935
64,0.086637855
65,0.055803195
66,0.04914514
67,0.04217092
68,0.06652197
69,0.040997878
70,0.080358684
71,0.08003226
72,0.040395804
73,0.06346067
74,0.09556805
75,0.036454506
76,0.035074793
77,0.059102576
78,0.051392477
79,0.07441108
80,0.05974006
81,0.067552775
82,0.08887914
83,0.09644904
84,0.11325421
85,0.085243806
86,0.06542941
87,0.055765316
88,0.09316365
89,0.06104501
90,0.041344985
91,0.07722169
92,0.06339667
93,0.065313205
94,0.06319988
95,0.07713584
96,0.047739495
97,0.048263
98,0.029909581
99,0.04405979
100,0.08259275
101,0.03393487
102,0.0688664
103,0.04902836
104,0.08721818
105,0.04006078
106,0.1023033
107,0.02915955
108,0.06742234
109,0.06339455
110,0.06291747
111,0.0453803
112,0.04649319
113,0.041056626
114,0.03631382
115,0.08543116
116,0.081618726
117,0.062268853
118,0.04905445
119,0.045830492
120,0.03693
121,0.04747082
122,0.059897304
123,0.07668829
124,0.07001409
125,0.056997504
126,0.03683709
127,0.044740036
128,0.08238625
129,0.053271443
130,0.055033613
131,0.046982765
132,0.05453594
133,0.040054232
134,0.06545476
135,0.06253406
136,0.04156335
137,0.08035541
138,0.07028961
139,0.05095511
140,0.030142317
141,0.03329056
142,0.06269046
143,0.043005586
144,0.048863385
145,0.04091706
146,0.025041634
147,0.042203225
148,0.07968865
149,0.05736475
150,0.055734884
151,0.04436063
152,0.029684566
153,0.05061872
154,0.03598235
155,0.043208454
156,0.0405212
157,0.023172393
158,0.0565831
159,0.030228274
160,0.044313755
161,0.062428236
162,0.06304614
163,0.053116683
164,0.08552291
165,0.056653015
166,0.056133687
167,0.040540557
168,0.04346238
169,0.037834324
170,0.0467541
171,0.051414702
172,0.044612523
173,0.045147844
174,0.041804515
175,0.031757712
176,0.02469958
177,0.022185035
178,0.029443901
179,0.031970847
180,0.033252917
181,0.024188664
182,0.02694682
183,0.037338696
184,0.028767664
185,0.031351134
186,0.03945432
187,0.028488101
188,0.0436489
189,0.059465636
190,0.034736056
191,0.026378978
192,0.037560873
193,0.055896144
194,0.029544834
195,0.026319474
196,0.029334145
197,0.038005933
198,0.04602257
199,0.027313437
200,0.02313155
201,0.036458712
202,0.039206795
203,0.042235725
204,0.055415258
205,0.022499375
206,0.025590131
207,0.034744397
208,0.02762132
209,0.02901208
210,0.04701198
211,0.039284762
212,0.052543636
213,0.028508877
214,0.029273918
215,0.04840225
216,0.035938144
217,0.044051323
218,0.031967927
219,0.04484203
220,0.03680922
221,0.025098853
222,0.02392106
223,0.03480704
224,0.029974265
225,0.035246078
226,0.025008954
227,0.03253895
228,0.02950611
229,0.038818497
230,0.04107165
231,0.033745557
232,0.0242282
233,0.027623504
234,0.031951126
235,0.023159415
236,0.029510055
237,0.030603744
238,0.040037096
239,0.045850746
240,0.043130167
241,0.036424562
242,0.031144232
243,0.027440509
244,0.03560539
245,0.027659666
246,0.030582882
247,0.03809078
248,0.058062747
249,0.031720422
250,0.023501344
251,0.03073515
252,0.03689491
253,0.059498657
254,0.029135704
255,0.047105156
256,0.038947806
257,0.039739266
258,0.06728525
259,0.03166199
260,0.022297703
261,0.030406576
262,0.029388957
263,0.023992157
264,0.025515804
265,0.035806958
266,0.027620057
267,0.034773648
268,0.030680932
269,0.024558468
270,0.039877728
271,0.032578416
272,0.025884803
