,0
0,0.3313179
1,0.27876243
2,0.26222616
3,0.35196853
4,0.2904105
5,0.18556705
6,0.20964974
7,0.14758237
8,0.08753575
9,0.17056364
10,0.16662855
11,0.06263511
12,0.12280482
13,0.07093316
14,0.05832258
15,0.05806957
16,0.10416613
17,0.033758156
18,0.035447143
19,0.048355907
20,0.035271395
21,0.042246595
22,0.02619636
23,0.045925263
24,0.05872937
25,0.031482697
26,0.033140138
27,0.027586171
28,0.028040987
29,0.028711477
30,0.03313718
31,0.024420768
32,0.024943352
33,0.02616525
34,0.032698266
35,0.030480547
36,0.0264956
37,0.028693795
38,0.02441808
39,0.020606
40,0.023162752
41,0.022956992
42,0.023886789
43,0.026062815
44,0.021832094
45,0.019921143
46,0.025762517
47,0.023053424
48,0.024224555
49,0.020956343
50,0.020290222
51,0.020441351
52,0.019541983
53,0.021859534
54,0.022043604
55,0.022016244
56,0.021524651
57,0.020092545
58,0.024069184
59,0.022438971
60,0.02263064
61,0.019974206
62,0.022098804
63,0.019436348
64,0.019206285
65,0.020066699
66,0.02192368
67,0.018685589
68,0.019232985
69,0.020437073
70,0.020624703
71,0.018325193
72,0.01768249
73,0.02101769
74,0.019083478
75,0.020325674
76,0.020724023
77,0.018989341
78,0.021559613
79,0.019981435
80,0.020002658
81,0.019051276
82,0.021644006
83,0.020129709
84,0.01937425
85,0.020984061
86,0.021273017
87,0.019203288
88,0.020260727
89,0.017649978
90,0.019729419
91,0.018323641
92,0.01892517
93,0.01985465
94,0.019245856
95,0.019487983
96,0.018783953
97,0.019128915
98,0.018133176
99,0.018911896
100,0.02002225
101,0.019436406
102,0.018598871
103,0.01751884
104,0.018498309
105,0.018090408
106,0.018212609
107,0.01817556
108,0.021574691
109,0.016403712
110,0.019300524
111,0.018207
112,0.017994972
113,0.020622656
114,0.019626379
115,0.01881339
116,0.017643737
117,0.018635884
118,0.019083105
119,0.016773429
120,0.01848137
121,0.017202165
122,0.018714938
123,0.019216161
124,0.016415495
125,0.01756027
126,0.018010626
127,0.02035203
128,0.018507961
129,0.017764794
130,0.018906806
131,0.015513323
132,0.017703656
133,0.016558534
134,0.017521711
135,0.018691832
136,0.018306421
137,0.0171789
138,0.0166721
139,0.01625314
140,0.016439032
141,0.017117158
142,0.01614662
143,0.015009028
