,0
0,0.27415422
1,0.2788251
2,0.2829493
3,0.27274
4,0.24909562
5,0.24269742
6,0.3089849
7,0.28329486
8,0.30073255
9,0.25876337
10,0.27671325
11,0.23586676
12,0.29102814
13,0.28922495
14,0.2676267
15,0.2835067
16,0.24860805
17,0.19687225
18,0.21001169
19,0.18322271
20,0.21875899
21,0.29059327
22,0.18024741
23,0.18799305
24,0.21965784
25,0.18919685
26,0.15719727
27,0.18998355
28,0.18228644
29,0.18640833
30,0.15653464
31,0.18758193
32,0.16057241
33,0.19294235
34,0.17288437
35,0.13420022
36,0.1673319
37,0.15562871
38,0.15999079
39,0.1637943
40,0.17517158
41,0.1571438
42,0.14209393
43,0.15688673
44,0.14267819
45,0.11252156
46,0.18320617
47,0.16183436
48,0.16685395
49,0.12508327
50,0.14526409
51,0.13450408
52,0.17489958
53,0.14519507
54,0.11733897
55,0.1445229
56,0.1332911
57,0.14884372
58,0.14649928
59,0.1732351
60,0.116929054
61,0.14409073
62,0.12083702
63,0.13348237
64,0.16063863
65,0.14710721
66,0.14256196
67,0.17471448
68,0.12853715
69,0.17158693
70,0.1595285
71,0.16116583
72,0.16528523
73,0.12150525
74,0.14112079
75,0.14805233
76,0.17561942
77,0.14351666
78,0.14319763
79,0.1636037
80,0.13395913
81,0.14915374
82,0.10980739
83,0.13378686
84,0.12113999
85,0.14922923
86,0.109144375
87,0.14928731
88,0.08999874
89,0.15335116
90,0.08338018
91,0.12996933
92,0.16209403
93,0.15122005
94,0.113647304
95,0.13844505
96,0.1296957
97,0.15930021
98,0.12173758
99,0.14463827
100,0.13239107
101,0.118001014
102,0.15758258
103,0.14092898
104,0.1284059
105,0.11018454
106,0.07485694
107,0.115101084
108,0.09589499
109,0.100594915
110,0.112152584
111,0.116604194
112,0.15424365
113,0.077537015
114,0.14203049
115,0.0994627
116,0.13521458
117,0.1425581
118,0.106613904
119,0.1414286
120,0.14283532
121,0.15672448
122,0.09720713
123,0.10845286
124,0.10374871
125,0.08971608
126,0.11973409
127,0.113482885
128,0.099157095
129,0.103625335
130,0.13726439
131,0.08662069
132,0.09959649
133,0.09618896
134,0.05081446
135,0.058693647
136,0.0865274
137,0.12075054
138,0.12099752
139,0.12949751
140,0.124749124
141,0.13331778
142,0.11237662
143,0.1288162
144,0.13347349
145,0.10047447
146,0.1042601
147,0.10028964
148,0.10940409
149,0.15682854
150,0.07295346
151,0.06985266
152,0.12270058
153,0.09164858
154,0.16840044
155,0.14245373
156,0.11798358
157,0.14118035
158,0.18156861
159,0.124202624
160,0.12494744
161,0.1555343
162,0.114728294
163,0.12803693
164,0.11593342
165,0.10705747
166,0.078016184
167,0.07312965
168,0.10411018
169,0.06912585
170,0.076204345
171,0.051259518
172,0.05878973
173,0.112118036
174,0.07144679
175,0.10508737
176,0.11133929
177,0.06439744
178,0.08875504
179,0.063061155
180,0.105547324
181,0.16391183
182,0.15066892
183,0.09997476
184,0.07003887
185,0.08435947
186,0.09915787
187,0.069504574
188,0.113516495
189,0.05853511
190,0.09246616
191,0.073746085
192,0.1156843
193,0.055578627
194,0.039531782
195,0.06879712
196,0.046028584
197,0.0523748
198,0.08673217
199,0.04200101
200,0.092571616
201,0.053619374
202,0.07932795
203,0.0860073
204,0.15068455
205,0.083229244
206,0.104375996
207,0.10805134
208,0.03881955
209,0.09244709
210,0.037523743
211,0.10057276
212,0.044225216
213,0.037587844
214,0.053519554
215,0.07628871
216,0.06512047
217,0.08838156
218,0.043277215
219,0.056678135
220,0.046837535
221,0.04120182
222,0.06947891
223,0.026414353
224,0.06281717
225,0.07568854
226,0.04253642
227,0.05553128
228,0.047381517
229,0.058084868
230,0.033178035
231,0.054670326
232,0.045442164
233,0.027643649
234,0.0542994
235,0.0393919
236,0.061243948
237,0.08453656
238,0.023604363
239,0.03391491
240,0.026860205
241,0.04820701
242,0.03381696
243,0.065766305
244,0.062602274
245,0.035945527
246,0.05891578
247,0.03343598
248,0.05360315
249,0.060054258
250,0.058799326
251,0.030104503
252,0.023573115
253,0.029657798
254,0.029721197
255,0.031938378
256,0.04234083
257,0.052945632
258,0.047354553
259,0.06474425
260,0.049727976
261,0.030219834
262,0.030501895
263,0.06244789
264,0.03490247
265,0.05712077
266,0.042208247
267,0.034599908
268,0.034949753
269,0.028857436
270,0.032377362
271,0.047596242
272,0.05701489
273,0.030366614
274,0.04114262
275,0.03812396
276,0.03303106
277,0.04154481
278,0.054432638
279,0.028525064
280,0.05004396
281,0.027528096
282,0.052060585
283,0.034241684
284,0.05341809
285,0.04892194
286,0.04434233
287,0.044981264
288,0.031012146
289,0.03508525
290,0.033953592
291,0.06920979
292,0.056049366
293,0.045716777
294,0.03075883
295,0.046318233
296,0.046365745
297,0.02735511
298,0.031212198
299,0.034075785
300,0.03748119
301,0.034497917
302,0.036996115
303,0.03167899
304,0.035143413
305,0.03629046
306,0.06958867
307,0.020304363
308,0.030483145
309,0.031555556
310,0.033719026
311,0.027010087
312,0.023749847
313,0.02585932
314,0.026186986
315,0.023791285
316,0.021819517
317,0.026067883
318,0.038235582
319,0.023366114
320,0.057951998
321,0.057529107
322,0.028768897
323,0.024371807
324,0.07039181
325,0.043481026
326,0.027995937
327,0.034987856
328,0.025299305
329,0.023366455
330,0.07873466
331,0.062143058
332,0.04404051
333,0.030897167
334,0.043329533
335,0.06337822
336,0.030175615
337,0.024426693
338,0.041304894
339,0.026781563
340,0.04713609
341,0.057716418
342,0.05002823
343,0.02965113
344,0.04783314
345,0.04588037
346,0.032446288
347,0.024940562
348,0.032212038
349,0.05551584
350,0.043671466
351,0.032269157
352,0.055725735
353,0.021001607
354,0.02099204
355,0.03565745
356,0.020559944
357,0.036957875
358,0.026388943
359,0.031361442
360,0.033533916
361,0.049565814
362,0.026126187
363,0.020333488
364,0.030998295
365,0.028355151
366,0.031249307
367,0.02647803
368,0.050324686
369,0.046913665
370,0.04449417
371,0.021094242
372,0.023201058
373,0.03735483
374,0.033311967
375,0.030711528
376,0.034220118
377,0.019055367
378,0.05672662
379,0.020785872
380,0.022145603
381,0.027135935
382,0.05230849
383,0.026354332
384,0.039458223
385,0.031040631
386,0.04643513
387,0.043119684
388,0.06287119
389,0.021582115
390,0.023662606
391,0.017806701
392,0.05389806
393,0.024775289
394,0.030648433
395,0.037327714
396,0.023664791
397,0.05813139
398,0.069089405
399,0.031527176
400,0.054907635
401,0.020678427
402,0.03489131
403,0.06396707
404,0.027556919
405,0.022739116
406,0.030847535
407,0.047053922
408,0.057724923
409,0.04483152
410,0.045861334
411,0.033654645
412,0.04435588
413,0.026645238
414,0.035101138
415,0.022509575
416,0.026853893
417,0.046193134
418,0.025978295
419,0.023170067
420,0.036007054
421,0.039436404
422,0.035770573
423,0.04115293
424,0.03465396
425,0.022068629
426,0.018777896
427,0.04680155
428,0.025913518
429,0.025178675
430,0.020465437
431,0.022083487
432,0.022929007
433,0.023755116
434,0.029659271
435,0.050682917
436,0.017737992
437,0.02319559
438,0.026171649
439,0.03072216
440,0.026162967
441,0.04486962
442,0.020510029
443,0.051083878
444,0.025902297
445,0.04020196
446,0.02735047
447,0.018605594
448,0.022408959
449,0.05443175
450,0.021738824
451,0.020583987
452,0.024148509
453,0.028709937
454,0.02133751
455,0.03571053
456,0.0315057
457,0.019943517
458,0.02659456
459,0.018500749
460,0.030938746
461,0.020351317
462,0.026914192
463,0.026846137
464,0.055784352
465,0.015520398
466,0.033137623
467,0.022718294
468,0.020926684
469,0.03727511
470,0.04245909
471,0.042498138
472,0.021389924
473,0.049656585
474,0.03144692
475,0.048367776
476,0.042447075
477,0.030017754
478,0.054911274
479,0.022463158
480,0.040187508
481,0.041574717
482,0.02956171
483,0.021769986
484,0.034684185
485,0.040804643
486,0.034289427
487,0.017385758
488,0.03118333
489,0.029611513
490,0.024934057
491,0.018970996
492,0.022043206
493,0.021906063
494,0.02734131
495,0.043763958
496,0.049874067
497,0.036358032
498,0.031053253
499,0.03446381
500,0.022781596
501,0.02585636
502,0.024249349
503,0.027901335
504,0.027520899
505,0.033053815
506,0.055194616
507,0.03302784
508,0.018752877
509,0.037218682
510,0.030430708
511,0.03319984
512,0.066555865
513,0.04173771
514,0.07564217
515,0.03725332
516,0.042765457
517,0.068208314
518,0.043554947
519,0.053980723
520,0.019229865
521,0.02858215
522,0.023813337
523,0.01852946
524,0.031022808
525,0.031032968
526,0.027212376
527,0.022132268
528,0.05164978
529,0.03138706
530,0.04285269
531,0.04770859
532,0.047026273
533,0.035847314
534,0.025666941
535,0.02668057
536,0.019519161
537,0.028419541
538,0.041442767
539,0.026772387
540,0.035288244
541,0.02891532
542,0.06728151
543,0.023027916
544,0.02513874
545,0.016939022
