,0
0,0.6573466
1,0.5674709
2,0.63510257
3,0.49034616
4,0.48017463
5,0.50363386
6,0.4890094
7,0.5233446
8,0.47956285
9,0.44030643
10,0.43155286
11,0.38126957
12,0.3841592
13,0.30688152
14,0.40298554
15,0.42772636
16,0.3629266
17,0.368923
18,0.26275992
19,0.2618389
20,0.26581234
21,0.19716235
22,0.20556743
23,0.15024565
24,0.19320169
25,0.14467666
26,0.124108285
27,0.16853409
28,0.124578886
29,0.15830626
30,0.15197228
31,0.16731466
32,0.12182792
33,0.11361099
34,0.12749343
35,0.14070977
36,0.13728353
37,0.13639945
38,0.1220898
39,0.16321196
40,0.12716444
41,0.14534026
42,0.12769708
43,0.14423686
44,0.1101785
45,0.14863503
46,0.13588648
47,0.12370481
48,0.14535996
49,0.14895877
50,0.12840064
51,0.112706296
52,0.12935486
53,0.1281019
54,0.112234905
55,0.08843319
56,0.10746507
57,0.12911867
58,0.12329034
59,0.1337263
60,0.0979936
61,0.11891299
62,0.10181452
63,0.12132982
64,0.09785076
65,0.09424957
66,0.10246642
67,0.09527196
68,0.09803468
69,0.088982195
70,0.08902122
71,0.10787663
72,0.10372866
73,0.100070894
74,0.09281053
75,0.1177017
76,0.09295629
77,0.07815638
78,0.082814485
79,0.09406661
80,0.0928264
81,0.096600465
82,0.09989908
83,0.09972235
84,0.09203085
85,0.09797856
86,0.09460372
87,0.08866511
88,0.076332025
89,0.0723525
90,0.068912536
91,0.08915952
92,0.09136717
93,0.08684632
94,0.05839529
95,0.072572544
96,0.06500196
97,0.07306258
98,0.06344887
99,0.072456166
100,0.060340934
101,0.06362013
102,0.07413141
103,0.080322325
104,0.06384312
105,0.053042956
106,0.053609796
107,0.046269864
108,0.05682206
109,0.042505573
110,0.055255853
111,0.05252188
112,0.04847676
113,0.05060228
114,0.049722638
115,0.04530182
116,0.044128306
117,0.04706705
118,0.04167251
119,0.056983896
120,0.0383232
121,0.047242623
122,0.033598613
123,0.041178267
124,0.039601736
125,0.05278792
126,0.04003667
127,0.03669832
128,0.039098628
129,0.046935525
130,0.04679937
131,0.048333056
132,0.038119927
133,0.038285475
134,0.0359184
135,0.0403276
136,0.029467728
137,0.031791102
138,0.03807861
139,0.0478265
140,0.028917622
141,0.03428002
142,0.033351228
143,0.029523738
144,0.03025955
145,0.038345024
146,0.031612597
147,0.035102475
148,0.026195483
149,0.032517154
150,0.033164047
151,0.02975737
152,0.035243586
153,0.034885388
154,0.02681366
155,0.028799277
156,0.031982504
157,0.03907175
158,0.03880912
159,0.03011107
160,0.04076647
161,0.035343975
162,0.03605695
163,0.038211606
164,0.036411554
165,0.030255454
166,0.03521175
167,0.03171996
168,0.0362878
169,0.032334246
170,0.029185258
171,0.03283609
172,0.028995618
173,0.030692834
174,0.0281219
175,0.034993976
176,0.03645867
177,0.032245085
178,0.034672927
179,0.039874665
180,0.029792314
181,0.035733175
182,0.035496682
183,0.03006998
184,0.02757874
185,0.032632016
186,0.029624913
187,0.031272788
188,0.02633281
189,0.037062347
190,0.03951619
191,0.031131862
192,0.033425182
193,0.028848823
194,0.025570232
195,0.039398313
196,0.034369536
197,0.028756391
198,0.030054852
199,0.028998222
200,0.028567173
201,0.03289783
202,0.028556384
203,0.027496923
204,0.027407948
205,0.032057703
206,0.02548673
207,0.024520889
208,0.02383506
209,0.034238636
210,0.027788445
211,0.032000113
212,0.025139809
213,0.033487394
214,0.030341497
215,0.03235038
216,0.030573092
217,0.033081412
218,0.032535702
219,0.03048978
220,0.029981652
221,0.03222707
222,0.037479743
223,0.031622883
224,0.029032303
225,0.025642369
226,0.030551456
227,0.025303733
228,0.028853562
229,0.03502871
230,0.029804908
231,0.027087606
232,0.034045383
233,0.032023713
234,0.024502924
235,0.024917018
236,0.026472617
237,0.02393638
238,0.026043259
239,0.027432375
240,0.032184795
241,0.0312232
242,0.029163834
