,0
0,0.17103961
1,0.2107226
2,0.4532643
3,0.3263316
4,0.10902529
5,0.16227618
6,0.38051605
7,0.13377115
8,0.27834475
9,0.17369394
10,0.28540066
11,0.28509238
12,0.113066256
13,0.13360102
14,0.18715505
15,0.28687117
16,0.3167397
17,0.09159234
18,0.21425053
19,0.08263421
20,0.32854632
21,0.16236892
22,0.33831128
23,0.22401592
24,0.10648896
25,0.14875315
26,0.18255585
27,0.18533117
28,0.19532302
29,0.122231
30,0.06348293
31,0.060807582
32,0.16481349
33,0.16875896
34,0.20280962
35,0.373802
36,0.32140622
37,0.056627564
38,0.31046814
39,0.19347487
40,0.21265778
41,0.10425445
42,0.05635302
43,0.28869274
44,0.2626837
45,0.34805158
46,0.19397366
47,0.3405993
48,0.1853497
49,0.076669216
50,0.2626161
51,0.25863954
52,0.1094155
53,0.12104979
54,0.16607887
55,0.19906443
56,0.33045095
57,0.09358392
58,0.3048866
59,0.24399015
60,0.14957076
61,0.1997456
62,0.18154672
63,0.17635614
64,0.3478312
65,0.24064295
66,0.22556472
67,0.21870938
68,0.17960268
69,0.16429193
70,0.31850424
71,0.12882878
72,0.10642781
73,0.15313224
74,0.23831457
75,0.10437115
76,0.19137894
77,0.1942377
78,0.21131128
79,0.41327968
80,0.1738973
81,0.112687275
82,0.06253908
83,0.3487034
84,0.21433237
85,0.27205223
86,0.116856575
87,0.20929465
88,0.14130102
89,0.1005209
90,0.08624141
91,0.29051048
92,0.06916867
93,0.097115636
94,0.15860489
95,0.16706702
96,0.1489442
97,0.09114957
98,0.0788265
99,0.14790866
100,0.06323326
101,0.09240654
102,0.028940676
103,0.10544242
104,0.11430819
105,0.062701814
106,0.078933716
107,0.09596198
108,0.1043549
109,0.14922924
110,0.049327552
111,0.07568904
112,0.020525433
113,0.045283742
114,0.03362845
115,0.029061748
116,0.052615803
117,0.04701828
118,0.06444723
119,0.04437974
120,0.02875622
121,0.048290458
122,0.0700244
123,0.051160272
124,0.044375177
125,0.028137445
126,0.026244596
127,0.033798628
128,0.023792323
129,0.045092262
130,0.034452215
131,0.043548934
132,0.0270881
133,0.03450228
134,0.033351112
135,0.044691097
136,0.03163653
137,0.02812784
138,0.01637714
139,0.020050403
140,0.017995236
141,0.045466572
142,0.047793992
143,0.033038583
144,0.035445586
145,0.024040302
146,0.016627036
147,0.022525957
148,0.020913795
149,0.03375747
150,0.04640595
151,0.044052836
152,0.015336103
153,0.014247931
154,0.01801138
155,0.023888808
156,0.017667871
157,0.01558033
158,0.018768698
159,0.01861333
160,0.016711114
161,0.019198017
162,0.018686935
163,0.023525614
164,0.019786198
165,0.01648916
166,0.0193384
167,0.015420331
168,0.028463826
169,0.023260396
170,0.027126297
171,0.018948548
172,0.016491834
173,0.018996494
174,0.020444741
175,0.027344804
176,0.020748947
177,0.023777664
178,0.014515385
179,0.02222853
180,0.014936205
181,0.023897197
182,0.02114401
183,0.017371066
