,0
0,0.678514
1,0.43133917
2,0.4666145
3,0.9174702
4,0.5434331
5,0.5830814
6,0.4292119
7,0.7397684
8,0.52170444
9,0.73016536
10,0.6719266
11,0.6484105
12,0.64562845
13,0.58213544
14,0.5468155
15,0.4926354
16,0.53697103
17,0.8404076
18,0.54633534
19,0.47919047
20,0.5415899
21,0.5625705
22,0.7020511
23,0.39766133
24,0.5576211
25,0.61219054
26,0.64518183
27,0.71238655
28,0.50605065
29,0.48919773
30,0.92682487
31,0.6788678
32,0.4849172
33,0.72913146
34,0.8179588
35,0.5347966
36,0.6576733
37,0.4939747
38,0.5471436
39,0.72505635
40,0.47649473
41,0.5959713
42,0.40884212
43,0.705624
44,0.5923363
45,0.6820128
46,0.7033718
47,0.57922053
48,0.77687246
49,0.5075122
50,0.64590836
51,0.5953865
52,0.6342042
53,0.5352235
54,0.60841846
55,0.603271
56,0.64966035
57,0.59804696
58,0.47744954
59,0.51751393
60,0.54452163
61,0.4630559
62,0.4243849
63,0.37959373
64,0.45551118
65,0.34468335
66,0.30203345
67,0.3588848
68,0.3332965
69,0.29567483
70,0.30495983
71,0.23359716
72,0.23940955
73,0.20459571
74,0.20293768
75,0.20790151
76,0.14998426
77,0.15228896
78,0.16483349
79,0.22174609
80,0.103889674
81,0.19645876
82,0.112478286
83,0.13924772
84,0.14262451
85,0.1263201
86,0.09542811
87,0.12904516
88,0.08386667
89,0.10712871
90,0.119256556
91,0.15917386
92,0.10839401
93,0.09937108
94,0.07098693
95,0.06311619
96,0.09503337
97,0.099246815
98,0.07969219
99,0.10434605
100,0.1360654
101,0.10512367
102,0.09548377
103,0.111187026
104,0.0730383
105,0.07524455
106,0.082405366
107,0.09641969
108,0.090467535
109,0.11332383
110,0.12947482
111,0.07934443
112,0.08233526
113,0.10624793
114,0.08506434
115,0.066151805
116,0.10051664
117,0.08262015
118,0.08752611
119,0.080354415
120,0.086848944
121,0.06829547
122,0.09276196
123,0.063365944
124,0.07986063
125,0.100943595
126,0.08615001
127,0.07583909
128,0.08925663
129,0.092819504
130,0.078138106
131,0.0751051
132,0.0715365
133,0.0734769
134,0.065410435
135,0.094626985
136,0.065109566
137,0.07383575
138,0.08054827
139,0.084548205
140,0.07136893
141,0.058914643
142,0.06832757
143,0.07909398
144,0.06450187
145,0.07214807
146,0.055490155
147,0.071280584
148,0.066112086
149,0.05998146
150,0.06345481
151,0.061640732
152,0.057199925
153,0.05707185
154,0.062291652
155,0.058074784
156,0.067792326
157,0.063954055
158,0.06544777
159,0.05989442
160,0.05351955
161,0.05961798
162,0.059632886
163,0.05155433
164,0.050209284
165,0.051236276
166,0.07758162
167,0.056186788
168,0.059449874
169,0.0395291
170,0.032490335
171,0.04485394
172,0.07162682
173,0.07022147
174,0.07882396
175,0.05737929
176,0.07788025
177,0.073495016
178,0.042602036
179,0.04505696
180,0.05109703
181,0.026344148
182,0.05019676
183,0.035015464
184,0.035559267
185,0.048366897
186,0.054272074
187,0.036015455
188,0.047702566
189,0.03562566
190,0.044012323
191,0.02912281
192,0.080265746
193,0.028239574
194,0.02837399
195,0.0526039
196,0.02984989
197,0.069394484
198,0.025323369
199,0.078385785
200,0.04571046
201,0.05007199
202,0.03846608
203,0.038819723
204,0.026837021
205,0.029693853
206,0.03842656
207,0.028210208
208,0.035018984
209,0.038342394
210,0.02389857
211,0.033538237
212,0.058081143
213,0.036437348
214,0.04779353
215,0.02763659
216,0.03291466
217,0.022201942
218,0.030487617
219,0.025281474
220,0.03473427
221,0.024928806
222,0.032122374
223,0.031119596
224,0.04003316
225,0.039797142
226,0.02950772
227,0.02540458
228,0.03443808
229,0.030525494
230,0.056608386
231,0.025474647
232,0.041637875
233,0.030860052
234,0.045102984
235,0.049646907
236,0.020757437
237,0.019638307
238,0.049603283
239,0.03137232
240,0.033653546
241,0.043762762
242,0.05213577
243,0.03971854
244,0.051284693
245,0.02728013
246,0.044119753
247,0.029872527
248,0.029369995
249,0.025210774
250,0.060018335
251,0.0736046
252,0.027939104
253,0.060945213
254,0.02915937
255,0.027751073
256,0.021298297
257,0.025526892
258,0.06556071
259,0.0437145
260,0.05464991
261,0.021451572
262,0.027690733
263,0.05586654
264,0.060077913
265,0.040493026
266,0.053236485
267,0.028914036
268,0.027936863
269,0.04341723
270,0.047875687
271,0.034679037
272,0.05399753
273,0.026891405
274,0.028206509
275,0.048419204
276,0.021534394
277,0.035293475
278,0.04319694
279,0.022273049
280,0.025753556
281,0.035333544
282,0.042111963
283,0.026861459
284,0.025102206
285,0.026573252
286,0.024350569
287,0.07137622
288,0.030638352
289,0.021616234
290,0.032244593
291,0.025575694
292,0.045049198
293,0.06125698
294,0.025570732
295,0.03645379
296,0.023237608
297,0.021091511
298,0.05572126
299,0.047916353
300,0.030376052
301,0.039377697
302,0.043533616
303,0.029542916
304,0.035449103
305,0.06346132
306,0.020967694
307,0.027626287
308,0.026991528
309,0.0529987
310,0.0333692
311,0.050316468
312,0.025159996
313,0.03325453
314,0.04139625
315,0.064759284
316,0.046550423
317,0.03260693
318,0.04058679
319,0.030381672
320,0.028927965
321,0.03590073
322,0.031369355
323,0.06706564
324,0.029860934
325,0.084943965
326,0.038407825
327,0.04382305
328,0.048862763
329,0.042972546
330,0.037408166
331,0.045944773
332,0.036377273
