,0
0,0.5295738
1,0.3221994
2,0.43962896
3,0.36172044
4,0.31804955
5,0.22001758
6,0.20090428
7,0.4328944
8,0.33449158
9,0.11010966
10,0.4232694
11,0.093401544
12,0.10959746
13,0.2799216
14,0.38179752
15,0.37095898
16,0.31664488
17,0.19822964
18,0.08384909
19,0.14669687
20,0.11837933
21,0.2546171
22,0.32234898
23,0.06954311
24,0.09755998
25,0.23043932
26,0.10942332
27,0.13119978
28,0.09582659
29,0.12736377
30,0.134561
31,0.18650186
32,0.28902942
33,0.16794325
34,0.1524637
35,0.22130653
36,0.085707575
37,0.15199232
38,0.15575537
39,0.08546932
40,0.06260157
41,0.23288399
42,0.19551179
43,0.06981907
44,0.101359814
45,0.10057194
46,0.14582175
47,0.09388621
48,0.07774389
49,0.15254986
50,0.116038024
51,0.115244314
52,0.15400669
53,0.08558861
54,0.1429707
55,0.10972017
56,0.052530326
57,0.15059249
58,0.15907434
59,0.07239312
60,0.065616556
61,0.15979461
62,0.04724153
63,0.2308751
64,0.15889236
65,0.064718366
66,0.1146707
67,0.18542348
68,0.08507544
69,0.10742891
70,0.13591328
71,0.12580812
72,0.11860218
73,0.07841967
74,0.16634573
75,0.08150846
76,0.093471795
77,0.05778584
78,0.13190964
79,0.12963422
80,0.069684714
81,0.096984245
82,0.12937447
83,0.09617293
84,0.06897843
85,0.0816163
86,0.07177524
87,0.10574238
88,0.06909135
89,0.067433566
90,0.07253507
91,0.09072967
92,0.059405684
93,0.120729595
94,0.09163619
95,0.054589596
96,0.040084325
97,0.077433646
98,0.06697102
99,0.11705461
100,0.052204154
101,0.054058775
102,0.057432663
103,0.06931027
104,0.08849895
105,0.036993165
106,0.061427068
107,0.0499572
108,0.09258962
109,0.052232593
110,0.036364473
111,0.060862288
112,0.06532012
113,0.05508037
114,0.039328292
115,0.074093066
116,0.041986268
117,0.038111005
118,0.028399391
119,0.029186111
120,0.04329903
121,0.03463109
122,0.042871132
123,0.053708673
124,0.043763656
125,0.055991948
126,0.05704586
127,0.097096406
128,0.041195344
129,0.1230677
130,0.02825842
131,0.037348732
132,0.038539015
133,0.030652687
134,0.037939314
135,0.039565757
136,0.06297065
137,0.05234524
138,0.035587337
139,0.04039871
140,0.07151067
141,0.052225
142,0.07619406
143,0.029316407
144,0.04970567
145,0.038791865
146,0.069605514
147,0.032320604
148,0.027472213
149,0.02773413
150,0.031704217
151,0.07598537
152,0.033227652
153,0.052206583
154,0.02638571
155,0.026682913
156,0.05372828
157,0.05830066
158,0.06735895
159,0.030280985
160,0.042659074
161,0.042460106
162,0.02650103
163,0.03830357
164,0.032350913
165,0.062134545
166,0.02642319
167,0.047420077
168,0.054195892
169,0.031938203
170,0.031226072
171,0.04353106
172,0.043458715
173,0.07685253
174,0.032101326
175,0.037495308
176,0.090572104
177,0.059862565
178,0.04532392
179,0.034928914
180,0.03838281
181,0.059192322
182,0.049567323
183,0.03409772
184,0.04668406
185,0.038929224
186,0.03007314
187,0.047928683
188,0.037609376
189,0.041253164
190,0.02762418
191,0.05303693
192,0.03444519
193,0.046374638
194,0.047272004
195,0.027943969
196,0.04228893
197,0.045549437
198,0.029764395
199,0.024961874
200,0.02203694
201,0.0385195
202,0.027966602
203,0.02383317
204,0.021360774
205,0.03625165
206,0.034314364
207,0.030996341
208,0.037018187
209,0.02858449
210,0.035569385
211,0.044776298
212,0.041411042
213,0.03270696
214,0.02259722
215,0.02512518
216,0.022322234
217,0.027781734
218,0.050903164
219,0.059431672
220,0.055803463
221,0.025862448
222,0.0440137
223,0.026830977
224,0.027696561
225,0.034435187
226,0.020984525
227,0.029515076
228,0.022678357
229,0.031191306
230,0.047383994
231,0.033157304
232,0.057732534
233,0.057036385
234,0.036802076
235,0.02186967
236,0.03234581
237,0.022435114
238,0.05789527
239,0.03563233
240,0.034465425
241,0.05211952
242,0.022245072
243,0.031082017
244,0.024567066
245,0.02096726
246,0.027179923
247,0.027198326
248,0.035824697
249,0.041708224
250,0.019218693
251,0.03197477
252,0.032059208
253,0.024824683
254,0.02915736
255,0.050220817
256,0.052842878
257,0.057517037
258,0.04103771
259,0.046731114
260,0.039467335
261,0.06219523
262,0.0664324
263,0.026574066
264,0.07959625
265,0.02281735
266,0.026337456
267,0.03621099
268,0.026205033
269,0.032380316
270,0.037859295
271,0.0255033
272,0.021942802
273,0.024918478
274,0.031113692
275,0.026664246
276,0.02501506
277,0.029696176
278,0.047487
279,0.02245262
280,0.03762257
281,0.03130281
282,0.027333563
283,0.051081397
284,0.031487178
285,0.027071923
286,0.020945538
287,0.027457241
288,0.019720376
289,0.032547913
290,0.030719828
291,0.023118198
292,0.02664927
293,0.028160471
294,0.038693238
295,0.032635104
296,0.023083951
297,0.03978036
298,0.020435017
299,0.062858
300,0.03783478
301,0.030133894
302,0.025631398
303,0.03335736
304,0.021908421
305,0.024274005
306,0.058025986
307,0.023073856
308,0.021292116
309,0.034463197
310,0.027525827
311,0.04239937
312,0.0438023
313,0.029065408
314,0.027655773
315,0.067920335
316,0.02703904
317,0.031584945
318,0.024924524
319,0.027579144
320,0.022109676
321,0.025106411
322,0.02641425
323,0.029529024
324,0.028280683
325,0.055953637
326,0.031812236
327,0.04326635
328,0.02140123
329,0.02179581
330,0.045633934
331,0.02453273
332,0.040553935
333,0.025798697
334,0.033545658
335,0.029498346
336,0.024733363
337,0.07000676
338,0.033794433
339,0.041913826
340,0.06217205
341,0.021501862
342,0.026016392
343,0.034102116
344,0.029224057
345,0.047207333
346,0.03414019
347,0.035070293
348,0.025867842
349,0.037529558
350,0.022462904
351,0.05821792
352,0.019511461
353,0.01952285
354,0.024195082
355,0.03617678
356,0.027692689
357,0.032524332
358,0.031467058
359,0.027600605
360,0.03199695
361,0.026731204
362,0.026681237
363,0.053717855
364,0.028639581
365,0.019201344
366,0.03133995
367,0.03033235
368,0.030373555
369,0.0199624
370,0.05985594
371,0.028226849
372,0.034297
373,0.023658523
374,0.02152547
375,0.047296554
376,0.027939241
377,0.063039415
378,0.045171373
379,0.022878641
380,0.04027743
381,0.0837436
382,0.049968626
383,0.026076637
384,0.040189072
385,0.029846024
386,0.039231505
387,0.032225676
388,0.027038017
389,0.08648985
390,0.024145361
391,0.027152132
392,0.032092452
393,0.028037108
394,0.035891935
395,0.046289098
396,0.04258594
397,0.03640268
398,0.03756057
399,0.026912555
400,0.04862705
401,0.037484683
402,0.025871957
403,0.023540419
404,0.023863776
405,0.034878686
406,0.019024806
407,0.052120868
408,0.03218348
409,0.036076687
410,0.019200016
411,0.027236108
412,0.02642916
413,0.031468157
414,0.02685187
415,0.022054248
416,0.02261081
417,0.025687099
418,0.02898144
419,0.04501287
420,0.02502269
421,0.020505132
422,0.028099338
423,0.02774739
424,0.029464845
425,0.01644539
426,0.041232713
427,0.03529623
428,0.026124083
429,0.024097398
430,0.01706947
431,0.027203534
432,0.0257954
433,0.030426856
434,0.02602669
435,0.025490712
436,0.033419393
437,0.031867146
438,0.02185554
439,0.028317444
440,0.02416756
441,0.023487654
442,0.036488153
443,0.03331528
444,0.0359112
445,0.041737255
446,0.022141948
447,0.029791005
448,0.023630241
449,0.024770379
450,0.029915895
451,0.04756872
452,0.028125174
453,0.028676428
454,0.02573422
455,0.020273082
456,0.02425988
457,0.030755185
458,0.019679364
459,0.046422753
460,0.021907225
461,0.039316803
462,0.03038197
463,0.030851822
464,0.028368251
465,0.020042397
466,0.023310442
467,0.027963117
468,0.024177454
469,0.021989573
470,0.026889142
471,0.022373676
472,0.024267463
473,0.021213127
474,0.027559537
475,0.017734256
476,0.025246337
477,0.02795303
478,0.019880002
479,0.023701284
480,0.031198163
481,0.025357094
482,0.033823714
483,0.023401067
484,0.031844746
485,0.04426986
486,0.026226139
487,0.032640815
488,0.042179547
489,0.03621859
490,0.04064959
491,0.09276436
492,0.022870382
493,0.015765235
494,0.048894055
495,0.023098625
496,0.024004038
497,0.027005248
498,0.023760715
499,0.021752918
500,0.026757363
501,0.01757045
502,0.025633134
503,0.024010122
504,0.027590452
505,0.021433791
506,0.03800947
507,0.024783123
508,0.019292211
509,0.025975224
510,0.06566586
511,0.022690877
512,0.019643897
513,0.023199603
514,0.021181976
515,0.019669533
516,0.02854966
517,0.026650261
518,0.023786563
519,0.019273859
520,0.03187658
521,0.02861872
522,0.039739933
523,0.054855842
524,0.05822083
525,0.040481377
526,0.040646315
527,0.026132114
528,0.020706808
529,0.02911282
530,0.027464587
531,0.029859629
532,0.02768085
533,0.02385972
534,0.044523224
535,0.02474994
536,0.027865738
537,0.025658224
538,0.02991902
539,0.03704407
540,0.036402598
541,0.04201317
542,0.030034399
543,0.023957338
544,0.060242273
545,0.02105533
