,0
0,0.36473325
1,0.399958
2,0.36956882
3,0.3123371
4,0.35291743
5,0.33605447
6,0.5103578
7,0.29934043
8,0.28792474
9,0.36068377
10,0.32692936
11,0.24717006
12,0.3022165
13,0.3162007
14,0.5150867
15,0.30532417
16,0.32758495
17,0.31311294
18,0.32522485
19,0.28808212
20,0.27364317
21,0.31750393
22,0.27853543
23,0.27870023
24,0.2715183
25,0.31595087
26,0.2403126
27,0.32723638
28,0.21491422
29,0.29110584
30,0.22418901
31,0.3159476
32,0.18547955
33,0.394257
34,0.2973736
35,0.25206488
36,0.2850027
37,0.2603296
38,0.19448619
39,0.1973946
40,0.22979331
41,0.3369653
42,0.15060934
43,0.31140608
44,0.17460841
45,0.26065594
46,0.20577435
47,0.2051694
48,0.22164553
49,0.2184861
50,0.19733275
51,0.15087812
52,0.19461516
53,0.1555675
54,0.13087551
55,0.12345511
56,0.24721372
57,0.13476688
58,0.116877705
59,0.1352269
60,0.16971172
61,0.15044203
62,0.1839519
63,0.13958263
64,0.16183312
65,0.15628406
66,0.22531006
67,0.17873093
68,0.16726822
69,0.21445459
70,0.13662924
71,0.14254238
72,0.14926898
73,0.18311718
74,0.12964138
75,0.16492812
76,0.12925014
77,0.16846503
78,0.16616152
79,0.14286211
80,0.1453816
81,0.102302805
82,0.20497087
83,0.1911571
84,0.104726136
85,0.10021283
86,0.15323082
87,0.16859463
88,0.10348576
89,0.0866695
90,0.14476603
91,0.21797165
92,0.12669612
93,0.11241238
94,0.13154674
95,0.14778757
96,0.15304628
97,0.09849608
98,0.106108405
99,0.16489342
100,0.114324965
101,0.11588246
102,0.13361561
103,0.11107883
104,0.16773602
105,0.09226213
106,0.10061516
107,0.09469797
108,0.09321886
109,0.12765066
110,0.14796181
111,0.15273279
112,0.16044056
113,0.13655913
114,0.17188895
115,0.103900135
116,0.14630961
117,0.12896633
118,0.08583853
119,0.14653364
120,0.12659207
121,0.090270124
122,0.13908313
123,0.16236597
124,0.08761959
125,0.084718555
126,0.13822605
127,0.08016065
128,0.09109108
129,0.12600677
130,0.1422361
131,0.080987096
132,0.08701053
133,0.12887672
134,0.16173968
135,0.12490703
136,0.08544642
137,0.11572232
138,0.054440767
139,0.15931407
140,0.13691932
141,0.05552571
142,0.118242554
143,0.103598416
144,0.12186737
145,0.11024459
146,0.111596145
147,0.07789411
148,0.06140031
149,0.0855545
150,0.086228624
151,0.11324592
