,model,dataset,MF+,MF-,PF+,PF-,nMF+,nMF-,nPF+,nPF-,S,test_date
0,GCN-LSTM,lightsource,0.022464035,0.13112313,0.020479288,0.09704429,0.14830108,0.865637,0.029012075,0.7476331,0.71428573,209
1,GCN-LSTM,lightsource,0.025842736,0.079307,0.024171265,0.07513113,0.18384336,0.5641843,0.02110128,0.50172156,0.71428573,242
2,GCN-LSTM,lightsource,0.041705366,0.081364535,0.034972906,0.0646626,0.26529154,0.51756704,0.09536659,0.32203263,0.71428573,247
3,GCN-LSTM,lightsource,0.015837206,0.11761335,0.015394005,0.09243804,0.10013743,0.74366015,0.03837927,0.68266445,0.85714287,259
4,GCN-LSTM,lightsource,0.007085415,0.117368355,0.0069018826,0.08919796,0.061871555,1.0248888,0.017875275,0.5138902,0.85714287,285
5,GCN-LSTM,lightsource,0.01343766,0.054079656,0.013039907,0.04338616,0.15567827,0.62652475,0.018550048,0.21088557,0.71428573,293
6,GCN-LSTM,lightsource,0.004447789,0.10211756,0.004446167,0.07684579,0.04256536,0.97726554,0.002560484,1.0491105,0.85714287,306
7,GCN-LSTM,lightsource,0.010331049,0.021444581,0.010145645,0.018257525,0.13305275,0.27618304,0.013426748,0.0030822323,0.71428573,318
8,GCN-LSTM,lightsource,0.0028510639,0.048468616,0.0028036595,0.043200664,0.04608754,0.7834968,0.0142610725,0.66132724,0.85714287,319
9,GCN-LSTM,lightsource,0.008428218,0.054917328,0.008235558,0.050954495,0.104824364,0.68302387,0.12797713,0.10725665,0.71428573,324
