,model,dataset,MF+,MF-,PF+,PF-,S,nMF+,nMF-,test_date
0,LSTM,lightsource,0.020118225,0.15961973,0.01844265,0.10503274,0.9002051,0.98425543,0.20339516,209
1,LSTM,lightsource,0.01653727,0.15290476,0.015958345,0.14798385,0.9002051,0.93292034,0.14752732,242
2,LSTM,lightsource,0.028593663,0.12265861,0.024610396,0.09396356,0.9002051,0.87400395,0.21952187,247
3,LSTM,lightsource,0.038948826,0.11165762,0.03418412,0.09764416,0.9002051,0.969166,0.22182195,259
4,LSTM,lightsource,0.04756341,0.071488775,0.044747345,0.06491541,0.9002051,0.5875483,0.4636079,285
5,LSTM,lightsource,0.03482942,0.08448763,0.03124403,0.057731975,0.9002051,0.6934496,0.23494701,293
6,LSTM,lightsource,0.019184535,0.04852819,0.017440055,0.037917983,0.9002051,0.8921494,0.87327504,306
7,LSTM,lightsource,0.014049446,0.05221352,0.013093889,0.04153013,0.9002051,0.8131869,0.3443701,318
8,LSTM,lightsource,0.015004398,0.0581348,0.01457051,0.05031247,0.9002051,0.7334865,0.3573802,319
9,LSTM,lightsource,0.03170987,0.055044938,0.028827965,0.050573062,0.9002051,0.56922793,0.42218614,324
