,model,dataset,MF+,MF-,PF+,PF-,S,nMF+,nMF-,test_date
0,LSTM,lightsource,0.058064852,0.14714022,0.052325305,0.09208442,0.6233766,1.0842443,0.248414,209
1,LSTM,lightsource,0.07834591,0.076472335,0.06978165,0.07280654,0.7252221,0.8086185,0.5689452,242
2,LSTM,lightsource,0.044628534,0.111757606,0.03371685,0.08671711,0.66097057,0.8879462,0.3368851,247
3,LSTM,lightsource,0.062238492,0.090954274,0.053577058,0.079337984,0.6349966,0.8941919,0.38962507,259
4,LSTM,lightsource,0.07041923,0.07791405,0.064822376,0.06713762,0.5755297,0.35526118,0.6369421,285
5,LSTM,lightsource,0.05539167,0.08712983,0.046089955,0.058628608,0.63431305,0.9447115,0.19978388,293
6,LSTM,lightsource,0.054980427,0.032716345,0.04187671,0.027379176,0.7108681,1.310409,0.83068204,306
7,LSTM,lightsource,0.10672876,0.049500696,0.07629722,0.041774955,0.6848941,1.880762,0.12058807,318
8,LSTM,lightsource,0.029979402,0.039960872,0.026364373,0.036108363,0.78263843,0.82190984,0.52791065,319
9,LSTM,lightsource,0.05349594,0.04516902,0.047864083,0.040607397,0.7286398,0.19669773,0.7592476,324
