,model,dataset,MF+,MF-,PF+,PF-,S,nMF+,nMF-,test_date
0,GCN-LSTM,wind-nrel,0.021211855,0.28193158,0.021211855,0.28193158,0.8697917,0.9369396,0.14128578,366
1,GCN-LSTM,wind-nrel,0.04589113,0.011446839,0.045486595,0.011446839,0.8697917,0.7971986,0.9659236,406
2,GCN-LSTM,wind-nrel,0.056881912,0.10607997,0.05564715,0.10449282,0.8697917,1.4884973,0.088994026,410
3,GCN-LSTM,wind-nrel,0.054923717,0.06574537,0.054737847,0.064609036,0.8697917,0.795176,0.7548196,428
4,GCN-LSTM,wind-nrel,0.02183357,0.04543259,0.021663757,0.04520625,0.8697917,1.1167128,0.7510095,481
5,GCN-LSTM,wind-nrel,0.061541166,0.041116603,0.057520986,0.039246593,0.8697917,-0.5606926,-0.040791497,496
6,GCN-LSTM,wind-nrel,0.07492922,0.075602435,0.07369253,0.0737687,0.8697917,0.33129495,0.33575708,545
7,GCN-LSTM,wind-nrel,0.06605097,0.12043906,0.060763035,0.109764375,0.8697917,0.45243418,0.0015542418,565
8,GCN-LSTM,wind-nrel,0.0058944356,0.25755686,0.005894436,0.23870726,0.8697917,1.0102324,0.44175744,714
9,GCN-LSTM,wind-nrel,0.027432872,0.2156149,0.027432872,0.20569952,0.8697917,1.084367,0.33689734,725
