,model,dataset,MF+,MF-,PF+,PF-,S,nMF+,nMF-,test_date
0,LSTM,lightsource,0.048157714,0.12572041,0.04135095,0.07883031,0.6363636,0.8473601,0.37141228,209
1,LSTM,lightsource,0.062834084,0.08329027,0.057363737,0.08000083,0.6363636,0.7585477,0.546337,242
2,LSTM,lightsource,0.047029745,0.08710278,0.03971617,0.06541284,0.6363636,0.7042373,0.5058094,247
3,LSTM,lightsource,0.053094126,0.07454153,0.046583418,0.063587286,0.6363636,0.77365637,0.5475563,259
4,LSTM,lightsource,0.046628766,0.07664407,0.044262793,0.07017441,0.6363636,0.5938124,0.40895012,285
5,LSTM,lightsource,0.07689458,0.059664715,0.055065036,0.04725036,0.6363636,0.2886698,0.71221024,293
6,LSTM,lightsource,0.018265937,0.04958609,0.016566398,0.039024938,0.6363636,1.0771297,0.8990706,306
7,LSTM,lightsource,0.018739633,0.044771295,0.01758675,0.036699817,0.6363636,0.6639904,0.5619745,318
8,LSTM,lightsource,0.021750236,0.047063254,0.020658534,0.042715374,0.6363636,0.93385947,0.39296952,319
9,LSTM,lightsource,0.041045863,0.060233634,0.036835145,0.05519318,0.6363636,0.39844096,0.30615664,324
